Account Name,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone,Annual Revenue,Number of Employees,Account Owner,AccountID,Industry Lookup,Territory,Region,AccountSeq,IndustrySeq,AccountOwnerSeq,Industry,Account Number
Abbott Group  (Andorra),7 Manitowish Avenue,Montgomery,AL,36109,United States,32.3834,-86.2434,+1-334-751-6344,94000000,9300,Spencer Low,113999f9-dd1e-eb11-a814-000d3a9c7ff2,Real Estate Investment Trusts,US-SOUTH,North America,1002,37,7,Real Estate Investment Trusts,AN-100003
"Abernathy and Sons (Stapleford, United Kingdom)",3 Mitchell Court,New Orleans,LA,70154,United States,30.033,-89.8826,+1-504-645-6003,108000000,8700,Molly Clark,322492b1-e41e-eb11-a814-000d3a9c7ff2,Business Services,US-SOUTH,North America,1004,4,1,Business Services,AN-100005
"Bahringer, Johns and Jacobs",44 Hauk Drive,Pensacola,FL,32520,United States,30.4124,-87.2035,+1-850-403-0979,173000000,1500,David So,9c3f73c9-e41e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1005,0,9,n/a,AN-100006
"Reilly-Kovacek (Lagny-sur-Marne, France)",3552 Dwight Terrace,Naples,FL,34102,United States,26.134,-81.7953,+1-941-272-7750,30000000,4000,Spencer Low,36b0eba1-e51e-eb11-a814-000d3a9c7ff2,"Computer Software: Programming, Data Processing",US-SOUTH,North America,1007,8,7,"Computer Software: Programming, Data Processing",AN-100008
"Waters-Nitzsche (Tyler, Texas)",296 Dunning Junction,Houston,TX,77030,United States,29.7041,-95.401,+1-832-817-3390,30000000,6300,Molly Clark,f2026cde-f31e-eb11-a814-000d3a9c7ff2,Real Estate,US-SOUTH,North America,1008,36,1,Real Estate,AN-100009
"Koch and Sons (Uurainen, Finland)",8 Service Circle,Richmond,VA,23289,United States,37.5313,-77.4161,+1-804-805-5449,49000000,9000,David So,e4e99a85-e31e-eb11-a814-000d3a9c7ff2,Medical/Nursing Services,US-SOUTH,North America,1011,26,9,Medical/Nursing Services,AN-100012
Abbott Group  (New York),199 Muir Terrace,Pompano Beach,FL,33064,United States,26.2785,-80.1157,+1-561-588-5166,53000000,3700,Spencer Low,2e1ab4d2-eb1e-eb11-a814-000d3a9c7ff2,Industrial Machinery/Components,US-SOUTH,North America,1024,16,7,Industrial Machinery/Components,AN-100025
Nader-Bruen,444 Bowman Junction,Jackson,MS,39296,United States,32.3113,-90.3972,+1-601-376-3467,189000000,6100,David So,c6b511b2-e21e-eb11-a814-000d3a9c7ff2,Other Specialty Stores,US-SOUTH,North America,1029,31,9,Other Specialty Stores,AN-100030
Steuber-Willms,60846 2nd Street,Sarasota,FL,34233,United States,27.2866,-82.477,+1-941-514-6602,49000000,6400,David So,b1cbf0fc-ec1e-eb11-a814-000d3a9c7ff2,n/a,US-SOUTH,North America,1031,0,9,n/a,AN-100032
"Dickinson Inc (Laval, France)",5 Emmet Parkway,Baltimore,MD,21203,United States,39.2847,-76.6205,+1-410-840-5657,26000000,10000,Spencer Low,a471f8f6-ec1e-eb11-a814-000d3a9c7ff2,Industrial Machinery/Components,US-SOUTH,North America,1032,16,7,Industrial Machinery/Components,AN-100033
